"ID","è≥ë¯",S1TTL,S2TTL,S3TTL,S4TTL,S5TTL,S6TTL,STTL,101,102,103,104,105,111,112,113,114,115,116,117,118,119,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1131,1132,1133,1135,1136,1137,1138,1139,1140,1141,1142,1143,1144,1145,1146,1147,1148,1149,1150,1151,P1TTL,P2TTL,P3TTL,P4TTL,P5TTL,P6TTL,PTTL,201,202,203,204,205,206,207,208,211,212,214,219,O1TTL,O2TTL,O3TTL,O4TTL,O5TTL,O6TTL,OTTL,301,302,303,1111,1121,2111,2131,3111,3131,4111,4121,4131,5111,5121,6111,6121
22-02-0003-08,1.00,7.0,10.0,5.0,20.0,17.0,12.0,71.0,0.78,0.78,1.17,0,0,2,2,521,498,98.2,1,2,1,2,1,1,1,2,2,1,46,93,13.8,29,0,27,7,1,2,8,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,0,0,0,2571,1107,692,0,0,0,19.2,14.5,11.2,24.8,9.5,21.0,100.2,19,3.25,2,76.5,0,70,1,1.25,3,3,2.75,0,4.8,5.5,2.3,7.1,4.5,5.0,29.3,51.291666666667,1.7916666666667,8.375,2.58,2.25,2.81,2.67,1.58,0.71,2.29,2.44,2.42,2.08,2.42,2.69,2.35
22-02-0003-09,1.00,5.0,10.0,12.0,25.0,13.0,14.0,79.0,0,0.51,1.02,0,0.51,2,2,628,572,83.1,1,2,1,2,2,1,2,2,2,9,52,74.1,7.63,48,0,44,5,1,3,8,1,1,2,2,1,1,1,2,2,2,1,2,2,2,1,0,0,0,1960,115,884,0,0,0,19.0,15.2,8.0,21.6,8.6,21.0,93.4,10.75,5.5,2,35.5,0,47.5,1,1.5,3,3.25,3.5,0,5.5,5.4,1.2,7.5,4.9,5.2,29.7,35.6,1.84,8.68,2.84,2.68,2.72,2.64,1.20,0.00,2.52,2.48,2.52,2.28,2.60,2.68,2.56
22-02-0003-15,1.00,5.0,4.0,9.0,13.0,9.0,10.0,50.0,3.44,0,0.69,0,0,2,2,510,510,93.5,1,2,1,1,2,2,2,1,2,6,50,47.8,43.8,22,0,19,2,2,2,8,1,1,2,2,1,2,1,2,2,2,1,1,2,2,2,0,0,0,1454,32,185,0,0,0,15.0,10.6,10.2,15.0,7.6,18.2,76.6,14.6,3.2,1.6,48.2,0.2,57,0.8,0.8,2.8,2.4,2.8,0,4.8,4.9,1.1,5.6,4.2,4.9,25.5,44.470588235294,1.6470588235294,38.764705882353,2.41,2.41,2.71,2.24,0.94,0.12,1.41,2.12,2.12,2.12,2.06,2.29,2.59
22-02-0003-16,1.00,7.0,8.0,13.0,23.0,19.0,14.0,84.0,3.88,0,9.71,0,0,2,1,628,552,80,1,2,1,1,2,2,2,2,2,2,20,39.8,22,17,0,17,1,2,1,8,1,1,2,2,1,4,1,2,1,2,2,2,2,2,1,37,0,0,515,375,123,0,0,0,18.0,14.2,11.0,23.0,10.6,21.2,98.0,19,1.8,2,68.4,0,73,1,1,2.4,1.8,2.4,0,6.0,5.5,5.0,8.0,6.0,6.0,36.5,65.5,1.5,16.5,3.00,3.00,3.00,2.50,2.50,2.50,2.50,3.00,2.50,3.00,3.00,3.00,3.00
22-02-0003-17,1.00,5.0,11.0,8.0,22.0,19.0,15.0,80.0,0.65,0,1.31,0.65,5.23,2,1,628,572,93.5,1,2,1,2,1,2,2,2,2,3,20,89.1,2.51,32,0,32,5,1,1,8,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,0,0,0,1529,954,140,0,0,0,20.5,11.5,6.5,25.0,11.5,21.0,96.0,15.5,25,1,76.5,0,35,1,1,2.5,2.5,2,0,4.2,5.0,5.0,7.8,5.0,5.0,32.0,63,1.5,0.5,2.00,2.25,3.00,2.00,2.75,2.25,3.00,2.75,2.00,2.00,3.00,2.75,2.25
22-02-0003-18,1.00,4.0,11.0,3.0,22.0,23.0,14.0,77.0,0,0,2.39,2.39,0,2,1,628,572,80.6,1,1,1,2,1,2,2,2,2,3,6,94.7,7.4,23,0,23,1,2,2,8,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,0,0,0,48,304,0,0,0,0,21.8,15.0,13.8,26.6,10.6,21.2,109.0,10.75,5,1.5,48.75,0,55,1,1,3,3.25,3.75,0,5.8,5.3,2.0,8.0,5.1,5.5,31.7,63.083333333333,1.3333333333333,8.75,2.75,3.00,2.67,2.67,1.58,0.42,2.58,2.58,2.83,2.42,2.67,2.75,2.75
22-07-0003-01,1.00,5.0,7.0,13.0,21.0,13.0,11.0,70.0,0.51,0,1.02,0,0,2,5,215,193,70.8,1,2,1,1,2,2,2,2,2,2,18,58.2,38.1,17,0,14,2,1,2,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,1,44.1,0,0,1965,556,265,0,0,0,18.6,14.8,11.8,24.0,10.4,22.2,101.8,23,4.6,1.4,80,0,70,1,1,2.2,2.8,3,0,5.2,4.8,5.6,7.0,5.0,4.8,32.4,62.2,1,21,2.60,2.60,2.40,2.40,3.00,2.60,2.20,2.60,2.20,2.20,2.80,2.80,2.00
22-07-0003-02,1.00,7.0,10.0,8.0,19.0,19.0,13.0,76.0,6.64,0.66,0,0,3.32,4,5,215,215,71,1,0,1,2,1,2,2,2,2,1,34,71,11.6,25,0,25,3,2,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,0,0,0,1505,210,780,0,0,0,19.4,14.6,8.6,21.4,9.6,20.0,93.6,16.6,3,1,80.4,0,94,1,1,2.4,2,2.8,0,5.4,5.9,2.3,8.1,5.2,5.3,32.1,60.266666666667,1.2333333333333,12.3,2.73,2.63,2.97,2.97,1.57,0.70,2.70,2.70,2.67,2.50,2.67,2.80,2.53
22-07-0003-03,1.00,6.0,8.0,7.0,18.0,13.0,12.0,64.0,2.97,0.59,0,0,4.16,1,5,193,193,708,1,2,1,2,1,2,2,2,2,1,42,70.8,11.3,24,0,23,3,1,2,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,1,0,0,0,1682,352,894,0,0,0,19.2,15.2,10.2,16.8,8.5,20.8,90.8,16.25,6,1.5,70.25,0,92.5,1,1,2.5,2.5,3,0,5.4,5.8,2.1,7.7,5.2,5.4,31.6,61.034482758621,1.3793103448276,8.9655172413793,2.79,2.66,2.97,2.83,1.31,0.79,2.59,2.59,2.52,2.55,2.66,2.83,2.55
22-07-0003-04,1.00,6.0,10.0,9.0,21.0,17.0,12.0,75.0,1.54,0.51,1.03,6.17,1.54,2,5,215,175,61.4,1,2,1,1,2,2,2,2,2,1,42,79.3,19.3,25,0,25,3,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,38.92,3.1,21.9,1945,360,710,0,0,0,20.2,15.8,11.0,23.0,9.2,20.8,100.0,14.25,4.5,1.75,67,0,50,1,1,3,3,3,0,5.6,5.5,2.2,7.5,5.3,5.1,31.1,52.321428571429,1.1428571428571,20.357142857143,2.82,2.75,2.68,2.82,1.54,0.68,2.18,2.61,2.68,2.57,2.71,2.64,2.46
